"","loggerID","dateTime","DO_mgL","T_degC","P_mb","DO.sat","PAR","modelTime"
"150","739125",2021-08-26 05:38:00,7.478,16.033,849,8.23521122599215,0,5.63333333333333
"151","467606",2021-08-26 05:40:00,7.313,16.021,849,8.23733059423689,0,5.66666666666667
"152","688268",2021-08-26 05:40:00,7.44,16.028,849,8.23609417998455,0,5.66666666666667
"153","736634",2021-08-26 05:41:00,7.5,15.978,849,8.24493284987481,0,5.68333333333333
"154","415148",2021-08-26 05:42:00,7.175,16.078,849,8.22727209658844,0,5.7
"155","488982",2021-08-26 05:44:00,7.397,16.214,849,8.20335958833406,0,5.73333333333333
"156","511686",2021-08-26 05:44:00,7.586,16.066,849,8.22938788631189,0,5.73333333333333
"157","701237",2021-08-26 05:44:00,7.669,15.924,849,8.25449729506417,0,5.73333333333333
"158","432269",2021-08-26 05:45:00,7.625,15.996,849,8.24174901512648,0,5.75
"159","497232",2021-08-26 05:46:00,7.555,16.055,849,8.2313281977644,0,5.76666666666667
"160","567371",2021-08-26 05:46:00,7.489,16.034,849,8.23503465509351,0,5.76666666666667
"161","728987",2021-08-26 05:46:00,7.473,16.016,849,8.23821394638021,0,5.76666666666667
"162","493593",2021-08-26 05:47:00,7.35,16.067,849,8.22921153409472,0,5.78333333333333
"163","648356",2021-08-26 05:47:00,7.597,16.228,849,8.20090491844705,0,5.78333333333333
"164","702726",2021-08-26 05:47:00,7.407,16.065,849,8.22956424515005,0,5.78333333333333
"165","739125",2021-08-26 05:48:00,7.483,16.016,849,8.23821394638021,0,5.8
"166","467606",2021-08-26 05:50:00,7.299,16.047,849,8.23273983683296,0,5.83333333333333
"167","688268",2021-08-26 05:50:00,7.437,16.028,849,8.23609417998455,0,5.83333333333333
"168","736634",2021-08-26 05:51:00,7.502,15.987,849,8.24334066320355,0,5.85
"169","415148",2021-08-26 05:52:00,7.177,16.095,849,8.22427635868122,0,5.86666666666667
"170","488982",2021-08-26 05:54:00,7.395,16.223,849,8.20178143853934,0,5.9
"171","511686",2021-08-26 05:54:00,7.59,16.066,849,8.22938788631189,0,5.9
"172","701237",2021-08-26 05:54:00,7.654,15.949,849,8.25006689602302,0,5.9
"173","432269",2021-08-26 05:55:00,7.63,16.013,849,8.23874403733011,0,5.91666666666667
"174","497232",2021-08-26 05:56:00,7.554,16.055,849,8.2313281977644,0,5.93333333333333
"175","567371",2021-08-26 05:56:00,7.487,16.051,849,8.23203396428787,0,5.93333333333333
"176","728987",2021-08-26 05:56:00,7.471,16.016,849,8.23821394638021,0,5.93333333333333
"177","493593",2021-08-26 05:57:00,7.343,16.067,849,8.22921153409472,0,5.95
"178","648356",2021-08-26 05:57:00,7.611,16.202,849,8.20546461570494,0,5.95
"179","702726",2021-08-26 05:57:00,7.407,16.073,849,8.22815355981231,0,5.95
"180","739125",2021-08-26 05:58:00,7.479,16.033,849,8.23521122599215,0,5.96666666666667
"181","467606",2021-08-26 06:00:00,7.303,16.038,849,8.23432843781977,0,6
"182","688268",2021-08-26 06:00:00,7.438,16.036,849,8.23468153319319,0,6
"183","736634",2021-08-26 06:01:00,7.506,15.987,849,8.24334066320355,0,6.01666666666667
"184","415148",2021-08-26 06:02:00,7.183,16.069,849,8.22885884952189,0,6.03333333333333
"185","488982",2021-08-26 06:04:00,7.392,16.24,849,8.19880193959653,0,6.06666666666667
"186","511686",2021-08-26 06:04:00,7.586,16.075,849,8.22780095466983,0,6.06666666666667
"187","701237",2021-08-26 06:04:00,7.66,15.958,849,8.24847297209838,0,6.06666666666667
"188","432269",2021-08-26 06:05:00,7.626,15.988,849,8.24316378682476,0,6.08333333333333
"189","497232",2021-08-26 06:06:00,7.55,16.072,849,8.22832987231109,0,6.1
"190","567371",2021-08-26 06:06:00,7.489,16.034,849,8.23503465509351,0,6.1
"191","728987",2021-08-26 06:06:00,7.471,16.016,849,8.23821394638021,0,6.1
"192","493593",2021-08-26 06:07:00,7.351,16.076,849,8.22762466202541,0,6.11666666666667
"193","648356",2021-08-26 06:07:00,7.611,16.194,849,8.20686849304862,0,6.11666666666667
"194","702726",2021-08-26 06:07:00,7.408,16.073,849,8.22815355981231,0,6.11666666666667
"195","739125",2021-08-26 06:08:00,7.467,16.059,849,8.23062253723966,0,6.13333333333333
"196","467606",2021-08-26 06:10:00,7.312,16.021,849,8.23733059423689,0,6.16666666666667
"197","688268",2021-08-26 06:10:00,7.44,16.019,849,8.2376839151804,0,6.16666666666667
"198","736634",2021-08-26 06:11:00,7.497,15.978,849,8.24493284987481,0,6.18333333333333
"199","415148",2021-08-26 06:12:00,7.192,16.044,849,8.23326931083228,0,6.2
"200","488982",2021-08-26 06:14:00,7.402,16.214,849,8.20335958833406,0,6.23333333333333
"201","511686",2021-08-26 06:14:00,7.592,16.057,849,8.23097535425362,0,6.23333333333333
"202","701237",2021-08-26 06:14:00,7.66,15.966,849,8.2470566037026,0,6.23333333333333
"203","432269",2021-08-26 06:15:00,7.626,16.005,849,8.24015790538166,0,6.25
"204","497232",2021-08-26 06:16:00,7.554,16.055,849,8.2313281977644,0,6.26666666666667
"205","567371",2021-08-26 06:16:00,7.488,16.051,849,8.23203396428787,0,6.26666666666667
"206","728987",2021-08-26 06:16:00,7.472,16.016,849,8.23821394638021,0,6.26666666666667
"207","493593",2021-08-26 06:17:00,7.357,16.059,849,8.23062253723966,0,6.28333333333333
"208","648356",2021-08-26 06:17:00,7.603,16.219,849,8.20248277278213,0,6.28333333333333
"209","702726",2021-08-26 06:17:00,7.409,16.073,849,8.22815355981231,0,6.28333333333333
